Name,Latitude,Longitude,Address,Access,Fee,Bidet,Source
#Hashtag,9.3104913,123.3002466,,customers,no,no,OpenStreetMap (Commercial)
10-18 Bakery,9.3047463,123.3056533,,customers,no,no,OpenStreetMap (Commercial)
1988 Bistro,9.3094718,123.3092917,,customers,no,no,OpenStreetMap (Commercial)
1st Valley Bank,9.3006903,123.3074892,Governor M. F. Perdices Street,customers,no,no,OpenStreetMap (Commercial)
2 Story Kitchen,9.3077971,123.3088297,,customers,no,no,OpenStreetMap (Commercial)
2GO Travel,9.3133842,123.3094415,Flores Avenue,customers,no,no,OpenStreetMap (Commercial)
3 J&M,9.3097688,123.3048453,,customers,no,no,OpenStreetMap (Commercial)
4G Autoparts Dumaguete,9.3040412,123.3049964,,customers,no,no,OpenStreetMap (Commercial)
5 Diamonds Pharmacy & Convenience Store,9.2932504,123.2762118,,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.2921614,123.2980076,,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.310463,123.3076825,,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.311781,123.3047153,,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.3065731,123.2986566,Doctor Vicente Locsin Street,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.2994333,123.3038799,Governor Perdices Street,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.3045331,123.3076776,Senator Lorenzo G. Teves Street,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.3171987,123.2949972,,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.3173222,123.3032966,Doctor Venancio I. Aldecoa Sr. Drive,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.3006883,123.2974663,,customers,no,no,OpenStreetMap (Commercial)
7-Eleven,9.3069424,123.3051022,,customers,no,no,OpenStreetMap (Commercial)
85 Degree Artisan Café,9.3174883,123.303309,N/A,customers,no,yes,User Provided (Bidet List v3)
85° Artisan Cafe,9.3174514,123.3033841,,customers,no,yes,User Provided (Bidet List)
8stars electrical supply,9.3041814,123.3062955,,customers,no,no,OpenStreetMap (Commercial)
8th Yoga Shala and Wellness Hub,9.322563,123.295687,N/A,customers,no,yes,User Provided (Bidet List v3)
98 Cuisine,9.306408,123.2990766,,customers,no,no,OpenStreetMap (Commercial)
A.M. Builders Depot,9.3164448,123.3018355,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
ABIAN Shoe Store,9.308619,123.3063387,,customers,no,no,OpenStreetMap (Commercial)
ACE Dumaguete Doctors,9.3170763,123.2959913,Claytown Road,public,no,no,OpenStreetMap (Commercial)
ACES Aluminum Supply,9.3092304,123.3058271,,customers,no,no,OpenStreetMap (Commercial)
AHL Richie Bakeshop,9.3037084,123.3066901,,customers,no,no,OpenStreetMap (Commercial)
ARAP's Eatery,9.3264349,123.3070114,,customers,no,no,OpenStreetMap (Commercial)
ATZ Motorcycle spare parts and accessories,9.3065943,123.3028276,Doctor Vicente Locsin Street,customers,no,no,OpenStreetMap (Commercial)
AVF Pharmacy,9.3045342,123.3070587,,customers,no,no,OpenStreetMap (Commercial)
Abby's by Pinky,9.3093572,123.3087418,,customers,no,no,OpenStreetMap (Commercial)
Abenson,9.3098665,123.3052972,Mayor Ramon T. Pastor Sr. Street,customers,no,no,OpenStreetMap (Commercial)
Aberrise Pension Hotel,9.3198235,123.2943302,Saint Raymund Street,customers,no,no,OpenStreetMap (Commercial)
Ace Hardware,9.3236063,123.2978771,,customers,no,no,OpenStreetMap (Commercial)
Ace Logic Computers Solutions,9.3093585,123.307909,,customers,no,no,OpenStreetMap (Commercial)
Adamo,9.3178408,123.3017687,,customers,no,no,OpenStreetMap (Commercial)
Adidas Originals,9.3079006,123.3073192,,customers,no,no,OpenStreetMap (Commercial)
Adobo Go too!,9.3188017,123.2989039,,customers,no,no,OpenStreetMap (Commercial)
Agapeps,9.3118848,123.2705104,,customers,no,no,OpenStreetMap (Commercial)
Agencia Belen,9.310049,123.3074767,,customers,no,no,OpenStreetMap (Commercial)
Agencia Belen Pawnshop,9.3037586,123.3078864,,customers,no,no,OpenStreetMap (Commercial)
Agencia de Exquisite of Dumaguete Inc.,9.3082156,123.306529,,customers,no,no,OpenStreetMap (Commercial)
Agriplus Commercial,9.3085083,123.306536,,customers,no,no,OpenStreetMap (Commercial)
Ailyn Store,9.304311,123.3009439,,customers,no,no,OpenStreetMap (Commercial)
Aisaas Boutique,9.3186576,123.3072561,,customers,no,no,OpenStreetMap (Commercial)
AlAgriPet,9.3171913,123.3014665,,customers,no,no,OpenStreetMap (Commercial)
Alalong Furniture,9.3180414,123.2860921,Motong - Batinguel Road,customers,no,no,OpenStreetMap (Commercial)
Alberto's Pizza,9.3202835,123.3003821,,customers,no,no,OpenStreetMap (Commercial)
Alberto's Pizza,9.3086546,123.3048899,,customers,no,no,OpenStreetMap (Commercial)
Aldea Lodging House,9.3093924,123.3077459,Governor M. F. Perdices Street,public,no,no,Manual Research
Aldea Photo Supply,9.309303,123.3077155,,customers,no,no,OpenStreetMap (Commercial)
Aleson Shipping Lines,9.3131237,123.3093065,Flores Avenue,customers,no,no,OpenStreetMap (Commercial)
Alfredo Miguel Store,9.3045354,123.3021223,,customers,no,no,OpenStreetMap (Commercial)
Aling Nenita Store,9.3036875,123.3062198,,customers,no,no,OpenStreetMap (Commercial)
Allegre,9.3066538,123.309958,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Allison Motorparts,9.3160029,123.3022677,,customers,no,no,OpenStreetMap (Commercial)
Alviola's Painitan,9.305786,123.306402,,customers,no,no,OpenStreetMap (Commercial)
Alymae,9.3095651,123.3078532,,customers,no,no,OpenStreetMap (Commercial)
Alymae US Surplus,9.3238412,123.286727,,customers,no,no,OpenStreetMap (Commercial)
Alymae US Surplus,9.3242939,123.2986207,,customers,no,no,OpenStreetMap (Commercial)
American Laundry Home,9.3059212,123.3018925,,customers,no,no,OpenStreetMap (Commercial)
Amru Coca Trading,9.2797475,123.2934426,,customers,no,no,OpenStreetMap (Commercial)
Ana Lee Rose Store,9.3222242,123.3049596,Route 7,customers,no,no,OpenStreetMap (Commercial)
Ana Maria Bakeshop,9.3214823,123.3079871,,customers,no,no,OpenStreetMap (Commercial)
Ana Maria Bakeshoppe,9.3083248,123.3077226,,customers,no,no,OpenStreetMap (Commercial)
Andok's,9.3169592,123.3059978,,customers,no,no,OpenStreetMap (Commercial)
Ang Barko Pension House,9.3140295,123.3097549,,customers,no,no,OpenStreetMap (Commercial)
Angel's Pizza,9.3101665,123.3067177,Silliman Avenue,customers,no,no,OpenStreetMap (Commercial)
Anima Christi Pharmacy,9.3054792,123.3049413,Jose Pro Teves Street,customers,no,no,OpenStreetMap (Commercial)
Animal Disease Diagnostic Laboratory,9.3218948,123.3008349,,customers,no,no,OpenStreetMap (Commercial)
Antwet Backpacker's Inn & Rooftop Bar,9.313813,123.30012,N/A,customers,no,yes,User Provided (Bidet List v3)
Antwet Roofdeck Bar,9.3138143,123.3041262,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
Appliance Centrum,9.3093046,123.3066873,,customers,no,no,OpenStreetMap (Commercial)
Aqua,9.3125271,123.2668417,Dumaguete - Palinpinon Road,customers,no,no,OpenStreetMap (Commercial)
Aquaventure White Tip Dive Supply,9.3067035,123.3039258,Doctor Vicente Locsin Street,customers,no,no,OpenStreetMap (Commercial)
Arbon's Tailoring & Alterations,9.3043957,123.3019812,,customers,no,no,OpenStreetMap (Commercial)
Arbour by Jan,9.3255451,123.3068699,,customers,no,no,OpenStreetMap (Commercial)
Armans,9.3128973,123.2980632,,customers,no,no,OpenStreetMap (Commercial)
Arnok's Fried Chicken,9.3065665,123.2978672,Larena Drive,customers,no,no,OpenStreetMap (Commercial)
Arnok's Fried Chicken,9.3263147,123.297763,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
Aromar Coffee,9.3201485,123.2973325,,customers,no,no,OpenStreetMap (Commercial)
Asia Novotel,9.30771,123.3073341,Governor M. F. Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Asia United Bank,9.3067943,123.3070226,Doctor Vicente Locsin Street,customers,no,no,OpenStreetMap (Commercial)
Asiatic Hardware Store,9.304598,123.3063123,,customers,no,no,OpenStreetMap (Commercial)
Astra Bella Apartment,9.321312,123.294687,N/A,customers,no,yes,User Provided (Bidet List v3)
Ata Negrito Spa,9.3296446,123.3040001,,customers,no,no,OpenStreetMap (Commercial)
Atirolf's Store,9.3199301,123.2957478,E. J. Blanco Extension,customers,no,no,OpenStreetMap (Commercial)
Avenue Park Hotel,9.3088634,123.3074206,Governor M. F. Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Avon,9.3005375,123.3038668,,customers,no,no,OpenStreetMap (Commercial)
Azul Bar,9.3205129,123.3124021,,customers,no,no,OpenStreetMap (Commercial)
B & H Mart,9.3069768,123.3063363,,customers,no,no,OpenStreetMap (Commercial)
B Massage and Spa,9.3068974,123.3039741,Doctor Vicente Locsin Street,customers,no,no,OpenStreetMap (Commercial)
B.S. Trading,9.3064006,123.3067019,Bishop Epifanio B. Surban Street,customers,no,no,OpenStreetMap (Commercial)
BDO,9.298299,123.3042928,,customers,no,no,OpenStreetMap (Commercial)
BDO,9.311288,123.3049977,Dumaguete North Road,customers,no,no,OpenStreetMap (Commercial)
BDO,9.30454,123.3075788,Senator Lorenzo G. Teves Street,customers,no,no,OpenStreetMap (Commercial)
BDO,9.3238063,123.298533,,customers,no,no,OpenStreetMap (Commercial)
BM Bakeshop,9.3111557,123.2939162,,customers,no,no,OpenStreetMap (Commercial)
BM Bakeshoppe,9.3170233,123.30287,,customers,no,no,OpenStreetMap (Commercial)
BOTEJYU,9.2987671,123.3031116,,customers,no,no,OpenStreetMap (Commercial)
BPI,9.3105112,123.3049975,,customers,no,no,OpenStreetMap (Commercial)
BPI,9.3062233,123.3075357,Governor Perdices Street,customers,no,no,OpenStreetMap (Commercial)
BPI,9.3080174,123.3079829,San Jose,customers,no,no,OpenStreetMap (Commercial)
BPI,9.3256772,123.2981263,,customers,no,no,OpenStreetMap (Commercial)
BRIX Tailoring,9.3168007,123.3020082,,customers,no,no,OpenStreetMap (Commercial)
BTJ,9.3096546,123.3081943,San Juan Street,customers,no,no,OpenStreetMap (Commercial)
Babii Tea,9.3096,123.3082864,,customers,no,no,OpenStreetMap (Commercial)
Bagacay Barangay Hall,9.2997674,123.2936048,Jose Romero Road,public,no,no,OpenStreetMap (Commercial)
Bagacay Farmers' Market,9.3002751,123.2929604,,public,no,no,OpenStreetMap (Commercial)
Bahay Pamahalaan ng Barangay Buñao,9.329949,123.2934078,Buñao Road,public,no,no,OpenStreetMap (Commercial)
Bahay Pamahalaan ng Barangay Lo-oc,9.3141416,123.3102003,Flores Avenue,public,no,no,OpenStreetMap (Commercial)
Bahay Pamahalaan ng Barangay Piapi,9.3214906,123.3055787,E. J. Blanco Drive,public,no,no,OpenStreetMap (Commercial)
Bahay Pamahalaan ng Barangay Pulantubig,9.3240755,123.2880588,L. Rovira West Road,public,no,no,OpenStreetMap (Commercial)
Bahia Restaurant and Lounge Bar,9.3264063,123.3111175,,customers,no,no,OpenStreetMap (Commercial)
Bai Cafe Coffee & Resto,9.3180574,123.2971345,,customers,no,no,OpenStreetMap (Commercial)
Bajumpandan Barangay Hall,9.2830403,123.2782725,,public,no,no,OpenStreetMap (Commercial)
Balasbas Vulcanizing Shop,9.302976,123.2798314,,customers,no,no,OpenStreetMap (Commercial)
Balugo Barangay Hall,9.3030125,123.2627282,Dumaguete - Balugo Road,public,no,no,OpenStreetMap (Commercial)
Bamboo Sparadise Massage,9.3090501,123.3088039,Santa Catalina Street,customers,no,no,OpenStreetMap (Commercial)
BanKo Savings Bank,9.3087313,123.3063244,,customers,no,no,OpenStreetMap (Commercial)
Banco Dipolog,9.3086882,123.3063316,,customers,no,no,OpenStreetMap (Commercial)
Banh Mi Kitchen,9.3226959,123.2987403,,customers,no,no,OpenStreetMap (Commercial)
Banilad Barangay Hall,9.2829973,123.2951418,Santo Niño Road,public,no,no,OpenStreetMap (Commercial)
Bantayan Barangay Hall,9.3316721,123.304606,,public,no,no,OpenStreetMap (Commercial)
Barangay Health Center,9.3123083,123.2687817,,customers,no,no,OpenStreetMap (Commercial)
Batinguel Barangay Hall,9.3099506,123.2899377,Dumaguete - Palinpinon Road,public,no,no,OpenStreetMap (Commercial)
Belcris,9.3103382,123.3084132,,customers,no,no,OpenStreetMap (Commercial)
Bellisima Nail Spa,9.309398,123.3066136,San Juan Street,customers,no,no,OpenStreetMap (Commercial)
Bench,9.2980279,123.3038748,,customers,no,no,OpenStreetMap (Commercial)
Best Practices Motorcycle Dealer,9.312771,123.3041824,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
Bethel Guest House,9.3062835,123.3099902,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Biaño's Pizza,9.3203758,123.3002764,,customers,no,no,OpenStreetMap (Commercial)
Bigby's,9.32231,123.31215,,public/customers,unknown,yes,User Provided (Bidet List)
Bigby's Café and Restaurant,9.3222058,123.3120769,,customers,no,no,OpenStreetMap (Commercial)
Bike Co.,9.3107936,123.3002167,,customers,no,no,OpenStreetMap (Commercial)
Bilcris sausages,9.3036779,123.3079833,,customers,no,no,OpenStreetMap (Commercial)
Bing's Bazaar,9.304874,123.3055835,,customers,no,no,OpenStreetMap (Commercial)
Biryani Point,9.3192482,123.2905126,E. J. Blanco Extension,customers,no,no,OpenStreetMap (Commercial)
Blue Horizon,9.3160152,123.3008406,Aldecoa Drive,customers,no,no,OpenStreetMap (Commercial)
