Name,Latitude,Longitude
"85 Degree Artisan Café",9.3174883,123.303309
"8th Yoga Shala and Wellness Hub",9.322563,123.295687
"Antwet Backpacker's Inn & Rooftop Bar",9.313813,123.30012
"Astra Bella Apartment",9.321312,123.294687
"Bigby's",9.32231,123.31215
"Brain Brew",9.31645,123.30738
"Buglas Isla Cafe Dumaguete",9.320438,123.310688
"But First Coffee",9.30685,123.30865
"Cafe Mamia",9.30818,123.30895
"Carlo's Place",9.317763,123.305766
"Casablanca Restaurant",9.30852,123.30952
"Cha Tuk Chak",9.30415,123.30863
"Charos Dormitel",9.31948,123.2912
"Chowking Drive Thru",9.312313,123.304312
"Chowking Dumaguete Downtown",9.308312,123.307812
"CityMall Dumaguete",9.32375,123.29868
"Coco Grande Hotel",9.31533,123.30745
"Crete Cafe",9.32565,123.30478
"DCCCO Hotel",9.302812,123.307312
"DGTech Computer",9.30881,123.30768
"Elaine's Homestay",9.316562,123.306438
"Freedom Park",9.3138129,123.3025817
"Gabby's Bed and Breakfast",9.317837,123.297172
"Gabby's Bistro (Bantayan/Main)",9.327188,123.304187
"Gabby's Bistro - Paseo Perdices",9.3074394,123.3096427
"Greenwich (Robinsons Place)",9.298312,123.302937
"Greenwich Perdices Street (Downtown)",9.3070165,123.3075523
"GSIS Dumaguete",9.323062,123.298937
"Heart Hotel",9.302688,123.307938
"Henia Hotel",9.306437,123.305813
"Hotel Dumaguete",9.3213901,123.3104219
"Hotel Nicanor",9.308063,123.308188
"Izakaya Himawari Japanese Restaurant",9.32543,123.30702
"Jo's Chicken Inato (Main)",9.31023,123.30798
"Jollibee Dumaguete Cathedral",9.306062,123.307563
"Jollibee Dumaguete Downtown",9.308187,123.307563
"Jollibee Dumaguete South Road",9.299062,123.302437
"Jollibee inside Robinsons Place Mall",9.298188,123.303313
"Jollibee near NOPH",9.32115,123.29944
"Jollibee near NORSU",9.31159,123.30488
"Koze Suites",9.326812,123.302688
"La Essencia Cafe (Hotel Essencia)",9.30897,123.30567
"La Mensa Bar",9.32031,123.31028
"La Mensa Bar Lounge",9.3203894,123.3100319
"La Mensa Italian Chophouse",9.3202773,123.310753
"Lighthouse Point Hotel Lobby",9.32623,123.30683
"Llaollao Boulevard",9.30928,123.30928
"Lorenzo's Steak en Deli (Don Atilano)",9.32165,123.3073
"M.Y. Hotel",9.30915,123.30524
"Mad Monkey Dumaguete",9.31948,123.31085
"Mala King",9.30871,123.30808
"Manila Teacher's Mutual Aid System Incorporation",9.306687,123.300562
"Marina Spatial",9.32168,123.31154
"McDonald's Dumaguete Business Park",9.299812,123.306438
"McDonald's Dumaguete Downtown",9.308488,123.307766
"McDonald's Dumaguete Real Street (North Road/Daro)",9.322812,123.299312
"Moriah Pension",9.31894,123.30133
"Optimum Pension House",9.314563,123.304063
"Piapi Deli",9.321263,123.3103508
"Plaza Maria Luisa Suites Inn",9.30651,123.30818
"Pulantubig Barangay Hall",9.32435,123.29254
"PVL Suites",9.317438,123.303313
"Quarto Dgte",9.3249,123.30809
"RM Guest House & Grand Royal Spa",9.326062,123.298063
"Robinsons Place Mall Calindagan",9.298188,123.303188
"Robinsons Supermarket Perdices",9.307562,123.307812
"Rollin' Pin",9.31192,123.30793
"Sans Rival Bistro (Boulevard)",9.30798,123.3096
"Sans Rival Cafė, The Henry Resort Dumaguete",9.327438,123.310187
"Sans Rival Cakes & Pastries (San Jose Street)",9.30803,123.30938
"Sans Rival Cakes & Pastries | Robinsons Dumaguete",9.298662,123.303109
"Sans Rival Marina Town (Filinvest Mall)",9.32271,123.31208
"Sierra Hotel",9.32161,123.30834
"Silliman University Cafeteria",9.31145,123.30765
"Silliman University College of Arts and Sciences",9.31207,123.30677
"Silliman University College of Business Administration",9.31268,123.30724
"Silliman University Library",9.31363,123.30634
"Silliman University Luce Auditorium",9.31331,123.30563
"Silliman University Medical Center",9.31646,123.30424
"Silliman University Senior High School Building",9.3143,123.30535
"Sol de Luna Cafe Restaurant Bar & Lounge",9.328437,123.308813
"Sola Guesthouse",9.3257,123.30685
"Sta. Monica Beach Club",9.277812,123.302437
"The Apartment 5",9.31858,123.30701
"The Coffee Bean & Tea Leaf",9.31994,123.31244
"The Henry Resort",9.32738,123.31028
"The Pawnshop Bar",9.321312,123.310438
"Tres Bistro",9.31788,123.30714
"WrkPod Downtown",9.308441,123.3080518
"Wrkpod HQ",9.31125,123.29875
"Wrkpod Northside",9.328563,123.296063
"Yvan Cafe",9.31933,123.30686
