Name,Latitude,Longitude,Address,Access
85 Degree Artisan Café,9.3174883,123.303309,"PVL Square, Corner Ipil street, Aldecoa Drive, Dumaguete City",customers
8th Yoga Shala and Wellness Hub,9.322563,123.295687,"St. Ignatius Street, Maria Asuncion Village, Daro, Dumaguete City",customers
Antwet Backpacker's Inn & Rooftop Bar,9.313813,123.30012,"Capitol Site, Negros Oriental, Dumaguete City",customers
Astra Bella Apartment,9.321312,123.294687,"St. Michael Street, Ma. Asuncion Subdivision, Daro, Dumaguete City",customers
Bigby's,9.32231,123.31215,"2nd Floor, Filinvest Mall Dumaguete (Marina Town), Dumaguete City",public/customers
Brain Brew,9.31645,123.30738,"Hibbard Avenue, within Harold's Mansion, Dumaguete City",public/customers
Buglas Isla Cafe Dumaguete,9.320438,123.310688,"EJ Blanco Drive, Piapi, Dumaguete City",customers
Café Mamia,9.308187,123.308937,San Jose Street,customers
Carlo's Place,9.317763,123.305766,"Hibbard Avenue, Tubod Street C25, C24, Dumaguete City",customers
Casablanca Restaurant,9.30852,123.30952,"Rizal Boulevard, corner Noblefranca Street, Dumaguete City",customers
Ceres Bus Terminal Restrooms,9.299688,123.305641,"Calindagan, Dumaguete City",public
Cha Tuk Chak,9.30415,123.30863,"38 Acias Pinili St., Corner Sta. Catalina, Dumaguete City",public/customers
Charos Dormitel,9.31948,123.2912,"EJ Blanco Extension, Daro, Dumaguete City",customers
Chowking Drive Thru,9.312313,123.304312,"Ground floor, Robinsons Place Parking Area, Dumaguete City",customers
Chowking Dumaguete Downtown,9.308312,123.307812,"Perdices Road, Dumaguete City",customers
CityMall Dumaguete,9.32375,123.29868,"First St, cor Negros South Road, Dumaguete City",public
Coco Grande Hotel,9.31533,123.30745,"Hibbard Avenue, Dumaguete City",customers
Crete Cafe,9.32565,123.30478,"Mango Avenue, Bantayan, Dumaguete City",customers
DCCCO Hotel,9.302812,123.307312,"Upper Luke Wright Street, Dumaguete City",customers
Derm Corner,9.309188,123.308766,"Derm Corner, Third Building, Corner: Santa Catalina, San Juan St, Poblacion 6, Dumaguete City",customers
DGTech Computer,9.30881,123.30768,"325 DGTech Building, Perdices Street, Dumaguete City",public/customers
Dumaguete Port Restrooms,9.312563,123.310688,"Port Area, Dumaguete City",public
Dumaguete Public Market Restrooms,9.305563,123.305937,"Public Market Complex, Dumaguete City",public
Elaine's Homestay,9.316562,123.306438,"17 Aldecoa Drive Laguna, Dumaguete City",customers
Flamin' Grill - Hibbard Branch,9.317937,123.307063,"Tunod Hibbard Avenue, Dumaguete City",customers
Freedom Park,9.3138129,123.3025817,"Ninoy Aquino Freedom Park, in front of the Negros Oriental Capitol Building, Dumaguete City",public
GSIS Dumaguete,9.323062,123.298937,"North National Highway, Daro, Dumaguete City",public
Gabby's Bed and Breakfast,9.317837,123.297172,"Claytown, Felomino Cimafranca, Dumaguete City",customers
Gabby's Bistro (Bantayan/Main),9.327188,123.304187,"E. Rovira Road, Bantayan, Dumaguete City",customers
