Name,Latitude,Longitude
Bigby's,9.3222821,123.3121083
Jollibee near Provincial Hospital,9.3213349,123.2996134
Jo's Chicken Inato (Main),9.310204,123.3079538
Silliman University Library,9.3136022,123.3063143
Pulantubig Barangay Hall,9.3243267,123.2881269
DGTech Computer,9.3087894,123.3076631
Cha Tuk Chak,9.3041365,123.3086081
llaollao Boulevard,9.3092609,123.3092622
Sans Rival (Filinvest Mall),9.3226818,123.312058
La Essencia Cafe (Hotel Essencia),9.3089525,123.3056451
Moriah Pension,9.3189217,123.3013061
Cafe Mamia,9.3081583,123.3089386
Freedom Park,9.3131063,123.3024986
Woodward Little Theater Silliman University,9.3132883,123.3056001
Rollin' Pin,9.3118974,123.3079094
Gabby's Bistro Bantayan (Employee CR),9.3272255,123.3042454
Lighthouse Point Hotel Lobby,9.3262062,123.3068087
The Coffee Bean & Tea Leaf,9.3199139,123.3124187
SU Cafeteria,9.311424,123.3076288
Tres Bistro,9.3178506,123.3071123
But First Coffee,9.3068206,123.3086298
85° Artisan Cafe,9.3174402,123.3033472
The Henry Resort,9.3273519,123.3102554
La Mensa Bar,9.320287,123.3102617
The Apartment 5,9.3185571,123.3069839
Lorenzo's Steak en Deli (Don Atilano),9.3216287,123.3072753
