Canonical_Location_ID,Name,Latitude,Longitude,Address,Restroom_Presence,Bidet_Presence,Access,Fee,Restroom_Verification,Bidet_Verification,Candidate_Priority,Parent_Venue,Source_Count,Sources_JSON,OSM_Type,OSM_ID,Bidet_Source_ID,Match_Status,Match_Confidence,Match_Reason,Last_Checked,Notes
buttler_loc_b2a4f21fbc6a500ff101,Casablanca Restaurant,9.30852,123.30952,"Rizal Boulevard, corner Noblefranca Street, Dumaguete City",Yes,Yes,customers,no,field_verified_via_bidet_survey,field_verified,High,,2,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/322750919"",""source_type"":""OSM""},{""evidence_role"":""verified_bidet_and_restroom_presence"",""source_link_id"":""bidet_survey_0bb53ae23775ce74868b"",""source_type"":""field_survey_bidet_workbook""}]",node,322750919,bidet_survey_0bb53ae23775ce74868b,auto_matched_high_confidence,high,Venue names have strong containment/identity agreement and coordinates are 8.0 m apart.,2026-03-09T05:43:57Z,
buttler_loc_956b9fbdf276c7542366,Dumaguete,9.3131543,123.3114084,,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/582448189"",""source_type"":""OSM""}]",node,582448189,,candidate_without_verified_bidet_match,,,2024-11-23T09:35:54Z,
buttler_loc_d46fb5db0511e3eebd76,Check Inn Dumaguete,9.3070116,123.3072521,,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/684358766"",""source_type"":""OSM""}]",node,684358766,,candidate_without_verified_bidet_match,,,2025-11-12T01:28:49Z,
buttler_loc_60b5c1388449eab79856,Le Chalet,9.307413,123.3097513,Rizal Boulevard,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,Why Not?,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1105804601"",""source_type"":""OSM""}]",node,1105804601,,candidate_without_verified_bidet_match,,,2025-02-19T04:44:32Z,
buttler_loc_c394b6047a6a6ba7e76e,Hotel Palwa,9.3071508,123.3059057,Doctor Vicente Locsin Street,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1140669692"",""source_type"":""OSM""}]",node,1140669692,,candidate_without_verified_bidet_match,,,2025-04-06T04:03:46Z,
buttler_loc_b9a4f3e52cbe15f4f4bb,Edelweiss Austrian Restaurant,9.3006829,123.2971643,,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1144972520"",""source_type"":""OSM""}]",node,1144972520,,candidate_without_verified_bidet_match,,,2011-02-10T02:27:45Z,
buttler_loc_6a27934f5e9853f162c1,Fuh Garen Chinese Restaurant,9.3010526,123.2974766,,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1144972522"",""source_type"":""OSM""}]",node,1144972522,,candidate_without_verified_bidet_match,,,2015-08-23T22:18:07Z,
buttler_loc_68d34940108923e41046,Chin Loong,9.308209,123.3095718,Rizal Boulevard,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1208361704"",""source_type"":""OSM""}]",node,1208361704,,candidate_without_verified_bidet_match,,,2025-02-26T06:29:46Z,
buttler_loc_f25e62856075af9cf666,Lab-as,9.320876,123.3123692,,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1214420423"",""source_type"":""OSM""}]",node,1214420423,,candidate_without_verified_bidet_match,,,2025-03-16T11:47:23Z,
buttler_loc_f56471920570aaabfc28,Unnamed venue,9.3099748,123.3091868,,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,Medium,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1214420425"",""source_type"":""OSM""}]",node,1214420425,,candidate_without_verified_bidet_match,,,2025-02-26T06:28:13Z,
buttler_loc_a7f10875519a6ac8bc5d,Mr. Sizzlers,9.3103686,123.3087443,,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1214420440"",""source_type"":""OSM""}]",node,1214420440,,candidate_without_verified_bidet_match,,,2025-12-31T04:01:22Z,
buttler_loc_6471b6bf7b2b852ecf77,Hitop,9.3119476,123.3075406,Hibbard Avenue,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,Medium,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1249813594"",""source_type"":""OSM""}]",node,1249813594,,candidate_without_verified_bidet_match,,,2025-04-09T01:26:09Z,
buttler_loc_2e0131d0c93dc62ca6b9,Jollibee Dumaguete Cathedral,9.306062,123.307563,"Santa Catalina Street (corner Perdices St), Dumaguete City",Yes,Yes,customers,no,field_verified_via_bidet_survey,field_verified,High,,2,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1249813608"",""source_type"":""OSM""},{""evidence_role"":""verified_bidet_and_restroom_presence"",""source_link_id"":""bidet_survey_decec93e793b701bac6d"",""source_type"":""field_survey_bidet_workbook""}]",node,1249813608,bidet_survey_decec93e793b701bac6d,auto_matched_high_confidence,high,Venue names have strong containment/identity agreement and coordinates are 10.7 m apart.,2025-02-19T03:38:41Z,
buttler_loc_029d1630d2b991fe8eb4,Worldview Inn,9.3097117,123.3075024,,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1249813631"",""source_type"":""OSM""}]",node,1249813631,,candidate_without_verified_bidet_match,,,2025-02-15T02:19:47Z,
buttler_loc_65833e659d4f2a7a19ed,Jollibee Dumaguete Downtown,9.308187,123.307563,"Gov. Perdices cor. San Jose Sts, Dumaguete City",Yes,Yes,customers,no,field_verified_via_bidet_survey,field_verified,High,,2,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1249813638"",""source_type"":""OSM""},{""evidence_role"":""verified_bidet_and_restroom_presence"",""source_link_id"":""bidet_survey_dbcdab1c46b8495eeca5"",""source_type"":""field_survey_bidet_workbook""}]",node,1249813638,bidet_survey_dbcdab1c46b8495eeca5,auto_matched_high_confidence,high,Specific venue identity and geometry were manually audited (4.2 m); branch/tenant target is unique.,2025-03-18T07:58:02Z,
buttler_loc_934e4e2538074d147609,Robinsons Supermarket,9.2987738,123.3034996,Dumaguete,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,Robinsons Dumaguete,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1417715738"",""source_type"":""OSM""}]",node,1417715738,,candidate_without_verified_bidet_match,,,2025-03-09T12:21:47Z,
buttler_loc_a28a4a2c716623dfaaaa,Dunkin',9.3078514,123.3077605,Governor M. F. Perdices Street,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1505257027"",""source_type"":""OSM""}]",node,1505257027,,candidate_without_verified_bidet_match,,,2025-02-26T11:29:58Z,
buttler_loc_7a58b1b5198a01ad2251,Howyang,9.3077967,123.3077659,"Governor M. F. Perdices Street, Dumaguete",Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1505258272"",""source_type"":""OSM""}]",node,1505258272,,candidate_without_verified_bidet_match,,,2025-04-08T09:05:06Z,
buttler_loc_d0fd793a59174da76d89,Sans Rival Bistro,9.3079415,123.3095703,Rizal Boulevard,Unknown,Unknown,unknown,unknown,candidate_unverified,unknown,High,,1,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1507144747"",""source_type"":""OSM""}]",node,1507144747,,candidate_without_verified_bidet_match,,,2025-02-26T06:29:59Z,
buttler_loc_04ae17aa5bea7478b372,Jo's Chicken Inato (Main),9.31023,123.30798,"Silliman Avenue, Dumaguete City",Yes,Yes,customers,no,field_verified_via_bidet_survey,field_verified,High,,2,"[{""evidence_role"":""restroom_acquisition"",""source_link_id"":""node/1507183634"",""source_type"":""OSM""},{""evidence_role"":""verified_bidet_and_restroom_presence"",""source_link_id"":""bidet_survey_533434b18f75b8204199"",""source_type"":""field_survey_bidet_workbook""}]",node,1507183634,bidet_survey_533434b18f75b8204199,auto_matched_high_confidence,high,Venue names have strong containment/identity agreement and coordinates are 2.0 m apart.,2025-02-16T02:41:17Z,
